listing_id,comments
2384,it's a wonderful trip experience. I didn't except the bedroom is so big and have a queen size bed.  it's very comfortable very quiet. and the host is very kind. she prepared breakfast and dinner for me. I am so appreciate everything she did for me.
2384,"This is my first trip using Airbnb. I was a little nervous before the trip, and didn't know what to expect. I had a wonderful two days stay. The room is big, clean. The location is safe, quite, and convenient. The host is very kind and warm, make me feel like at home. The next morning I arrived, Chicago was cold and snowing, she drove me to my workshop location. after I checked out, she drove me to the hotel I booked for my next meeting. I could not expect any better experience than  this. I am very appreciated all the things she did for me. "
2384,The reservation was canceled 80 days before arrival. This is an automated posting.
2384,"SÃ³lo puedo decir cosas buenas de Rebecca. La habitaciÃ³n estÃ¡ muy bien, con una cama grande y muy cÃ³moda. La casa estÃ¡ a 15 min andando del hospital University of Chicago, a 10 de la universidad y a 1 del tren que te deja en el centro de la ciudad. Rebecca es una persona muy acogedora, comparte su comida contigo, muchas veces te hace la cena y los fines de semana suele hacer desayuno. AdemÃ¡s, te ayuda en lo que necesites. A mÃ­, el dÃ­a que me recogiÃ³ en el metro me llevÃ³ a conocer donde estaba el hospital para que supiera orientarme al dÃ­a siguiente. La recomendarÃ­a a todo el mundo"
2384,"Rebecca was an absolutely wonderful host.

I was travelling to Chicago for a conference at the University of Chicago, and I had never been to Chicago before so I was a bit nervous about my trip. However, Rebecca helped to get me quickly acquainted with the city. On the day of my arrival, Rebecca picked me up from the bus stop and gave me a tour of the University of Chicago campus (which really is like a 10 - 15 minute walk from her apartment), Hyde Park (the neighbourhood) and the entire downtown area. In doing so, she also gave me pointers on which transit routes to take to get to the main Chicago attractions.

During the next 2 days of my stay, Rebecca made me feel extremely welcome and comfortable in her home. She made sure I had everything I needed. She even made breakfast and dinner for me, which really helped cut my expenses for food on my trip. Moreover, Rebecca respected my space and privacy during my stay.

On my last day, my flight left early in the morning and there were not many bus routes available during that time. Rebecca offered to drive me instead. This made my trip extremely convenient and less stressful, and I will always be grateful for her generosity.

All in all, Rebecca made my first experience with Airbnb a memorable one, and I recommend her apartment for anyone who is looking to stay near the University of Chicago."
2384,"Rebecca really tried to make it feel like home away from home, and went out of her way to help me get to where I needed to go.  When I arrived in O'Hare, she came to pick me up at the airport, and drove me all the way to Evanston (where I was going for the day).  Then, later in the day, I got on the wrong train going south and went right past the apartment, finally getting off 12 miles south.  Rebecca immediately drove, picked me up, and then had dinner ready back home!  She's a very kind and helpful lady, and wonderful to talk to, also - I learned a few things about Chicago from her!

The listing description is accurate - the room looks just as in the picture.  It's a two-bedroom apartment, and Rebecca lives in the other room.  There's also a bathroom, living room, kitchen, and dining room.  Rebecca keeps the kitchen stocked with some food if you want a quick snack or want to cook something, and there's also a small grocery shop 4 blocks away.  The apartment is a very short walk from University of Chicago, which makes it perfect for visiting academics.  It's also very close to the Lakefront trail, if you want to go for a run or walk.

Overall, I had a wonderful experience, and would love to stay with Rebecca again the next time I visit!"
2384,"Hi. i just return from Chicago and want to share my experience.
   Rebecca was so  nice and she gave me to feel in her home like my home. She came to the airport that is far from her flat and picked me from the airport. I stayed for 5 nightes and i felt very good and safety.
    The flat is clean and  comfortable.
 (Website hidden by Airbnb) am sure i will come again to Rebecca in the future.
 (Website hidden by Airbnb) Shlomit Yosha"
2384,"Rebecca is a very charming and  nice personn, a super welcome, she was very helpful during all my stay. 
The accomodation is very quiet, clean and convenient when you want to go to the loop.
My stay  had been a very good moment thanks to Rebecca.
Thanks a lot :)"
2384,"A Great host. Rebecca was very helpful with everything. . She makes sure you have everything you need but gives you your space. The place is very cozy, well kept, and clean. 

Room is as perfect as it display here in images. Great location to visit McCormik Place by Metra. This apartment is in a great location on a nice street with a Safe neighbourhood. Kitchen is full of almost all grocery and she make me conferrable to use it.

As a person, Rebecca is very kind, friendly and always ready to help. She took time to explain everything is apartment. She provided some great information regarding streets, public transportation options and places that were of interest. She even come to drop me to o'hare airport at 6 in the morning.

I would definitely stay here again!

Thank you Rebecca!!"
2384,"My wife and I had a wonderful experience staying with Rebecca in Chicago. Prior to our trip, she kept in communication with us and offered tips and guidelines as far as where to park (free right outside her apartment), how to get around downtown (bus stop and train nearby), and places to visit/see. The home was very clean, quiet, private, and in a safe community very close to the University of Chicago and the Museum of Science and Industry (almost right across the street). Rebecca provided us a breakfast each morning while we were there and was very friendly. We spent most of our time in Chicago sightseeing and going to the three consecutive My Morning Jacket concerts at the Chicago Theatre (the main reason we came to town), so we weren't at her place all that much. However, having Rebecca's apartment to come home to for rest and relaxation and to regroup before heading out to see more of the city was vital for our trip being a success. This was our first experience using Airbnb, and it was fantastic!"
2384,"I stayed 10 days with Rebecca and had a most pleasant time. The apartment is part of a charming 100 year-old complex that surrounds a tranquil garden courtyard. Rebeccaâ€™s home is very comfortable and equipped with more conveniences than I needed. I found Rebecca a most generous host happy to fully share her apartment and to assist in any way possible. The apartment is part of the leafy suburb that surrounds the University of Chicago and benefits from both the constant security put in place for the students and the public transport that serves the campus. And last, but not least, Rebecca makes an excellent margarita."
2384,"Rebecca greeted me with a warm and welcoming smile.  She showed me  my room, the rest of the apartment and said to help myself  to anything I may to eat or drink.  She made me feel very much at home.   She  acquainted me with the neighborhood transportation and directions whenever needed.  "
2384,Rebecca was friendly and did everything to make me feel comfortable; she even interrupted her evening activity when I arrived at the flat early to let me in. The room and apartment were nice and clean and a well equipped kitchen made it a very pleasant stay!
2384,"One of the best places near the University of Chicago. The apartment was close to the campus, so I didnâ€™t have to take a bus or a cab to get there. The room was also clean and niceâ€”even better than my own room in Korea. There was a convenient steam iron, and the bed was really cozy. Above all, Rebecca is friendly and kind. She showed me the downtown of the city, and told me a lot of helpful pieces of information. I wonâ€™t forget it here."
2384,"The apartment and bedroom are spacious and clean. The location is very close to both bus and train options, and a short walk from the UChicago campus. Best of all, Rebecca was incredibly friendly - she took time to show me around the neighborhood, and I enjoyed chatting with her. Highly recommended."
2384,"Rebecca was a great host. Even though I was only in town briefly, she made me feel very welcome. Her apartment is absolutely gorgeous, clean, and convinient, and (importantly!) the bed was reallllly comfortable.

"
2384,Rebecca was super nice and a great host! Her apartment was super cute and the bed was fluffy and soft (which was great because I was so tired after walking around the city).
2384,Rebecca was an excellent host. Her apartment is located really close to UChicago. The apartment is very nice and clean. The bedroom is very comfortable. She knows the area very well and told me all of the spots to check out. I highly recommend staying with Rebecca. 
2384,"It was a great pleasure staying at RebeccaÂ´s and I can only recommend it. The room is pleasant and Rebecca made me feel right at home. She is a wonderful host, helpful, and lovely company too! The apartment is within walking distance of the lake, public transport, groceries, cafeÂ´s and of course the university. Thank you, Rebecca!"
2384,"Rebecca was the perfect host - she was flexible on the time of arrival and always gave great advice on what to do in Chicago. Perfect location for visits close to the University.
Everything was clean, and the bed was really comfortable. I will definitely book this place again when I return to Chicago."
2384,"I had a fantastic experience staying with Rebecca. The apartment is gorgeous - classic, spacious, beautifully appointed, and immaculately clean. I slept better in the guest bed than I do in my own at home. Everything you need is here - bathroom products, extra linens, even full access to the kitchen. The apartment is so close to campus I only had to wake up 20 minutes before my conference - and there were also good (and affordable) restaurants nearby for a late night dinner. 

Rebecca herself is a VERY cool lady. She was super welcoming and understanding when I forgot to check out (even though she had another guest coming). Then, when I had an hour to kill before my flight, she not only offered to drive me downtown, but ended up taking me sightseeing in Pilsen and dropping me off at the airport! I know she can't do that for every guest but it's a sign of how warm and generous she is and how much she wants guests to enjoy their stay. Thanks for everything Rebecca!"
2384,"Rebecca is a very welcoming and generous host. I was at her home for two weeks and her guest room was a very good, clean and great place for recovering after work or sightseeing. It is located nearby the university campus and therefore very convenient for research trips or conferences. Rebecca also picked me up and drove me to Oâ€™Hare â€“ which was really a nice and unexpected offer. I can really recommend staying at her place."
2384,It was such a cute space both outside (the entrance garden is amazing) and inside. I was impressed how nice and tidy Rebecca keeps her home. She is a warm-hearted person and showed me around the neighborhood when I first arrived; and you feel you have enough freedom and as comfortable as at home
2384,"I had an excellent experience at Rebecca's place during my stay. Not only was she very accommodating to my late arrival time, but she made me feel very welcome during my visit. Unfortunately I wasn't able to talk with her that much during my visit on account of a busy schedule, but I encourage anyone else who books her place to talk her, as I imagine she has a wealth of knowledge about the city! 

Also 10/10 points for the bed I slept in. I'm not sure if it was memory foam or what, but it was exceeding comfortable. "
2384,"Rebecca was the picture of an accomodating and understanding host. My flight was delayed due to weather issues in my city and as a result I wasn't able to make it to her before I went out on Halloween. She graciously let me in with a great attitude even though I didn't make it into the house until 3am! Rebecca's how is charming and inviting. The room looks EXACTLY as described and was so comfortable! I had a great sleep every night. Her home is close to the train station (just as advertised) and it made getting around very easy. She is also near the University of Chicago campus which is beautiful (in case you wanted to walk around).

Rebecca was helpful and willing to suggest great places to eat and even took the time to share breakfast with me the day I flew out! She provided yogurt, coffee and various treats to make me feel welcome and taken care of.

Not to mention her shower is dope lol. It has 6 showerheads! 

Staying with Rebecca was more than I could have asked for. A gracious and kind host, I would highly reccommend that you stay with her if you have the chance. She made me feel welcome and it was like staying with family (except she didn't pester me about when I'm getting married). :)"
2384,"My stay at Rebecca's place was great! Rebecca is a very nice person. She showed me the neighborhood the first evening when I arrived and made me feel like at my own home. Her apartment is very neat, cozy and calm. The building is very close to the University of Chicago, so is great for the University visitors. I would recommend staying here!"
2384,"The room was exactly as described/pictured and as I expected. It provided exactly what I needed, a place to sleep and get ready for the next day. I had my own keys so I could come and go as needed. Rebecca was a wonderful host and went above and beyond what I expected when she helped me with transportation to the airport on the last day of my stay."
2384,"Rebecca provided the full B&B experience! She went above and beyond what I would expect from a host. The room was bright and comfortable, I had everything I needed and much more, and the location was perfect for attending my conference at U of Chicago. She was friendly and fun to talk with and I hope to stay here again the next time I'm in town. This was my best airbnb experience so far, and would recommend Rebecca's house to anyone looking for a friendly home away from home! "
2384,"Rebecca went above and beyond what I expected, and is the definition of a perfect host. She was welcoming, kind, respectful of privacy, and fun to talk to. The room is spacious with an extremely comfortable bed and pillows (seriously). She provides everything you need, and is more than happy to share her food!"
2384,"This is my first try with AirBNB booking and I had great experience.  I was at UChicago to visit my son and the school.  It was just one block away from his dorm.  The location is prefect.  The room is as what described, clean and warm, big space in the private bedroom.  The host is a great lady, telling you anything you need to know and make you feel at home but certainly give you all space you need to be on your own.  You have freedom similar to you are at hotel and also you feel at home you can ask someone and chat with mutual topics.  I am highly recommending it to anyone who is interested in visiting UChicago.  In fact, I am talking to my wife on next trip to rent from the host. "
2384,"Rebecca is a very gracious host. A perfect, extremely safe place  to stay next to U of Chicago. A fantastic home away from home.
"
2384,"Rebecca is the definition of a perfect host. She arranged everything so I could be independent in her apartment but was happy to answer any questions. She even drove me to my event the last day since I had to leave for the airport right afterwards and otherwise would have had to drag my giant luggage through public transportation. Her apartment is clean, comfortable, and quite charming. I especially liked the canary yellow walls of the kitchen. If I ever need a room in Hyde Park in the future, this will be the first place I look."
